Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2004-01-02,5802.2998046875,5834.10009765625,5793.2998046875,5834.10009765625,5834.10009765625,0,0.0,0.0
2004-01-05,5834.10009765625,5860.0,5833.60009765625,5837.60009765625,5837.60009765625,0,0.0,0.0
2004-01-06,5837.60009765625,5849.89990234375,5817.89990234375,5837.2998046875,5837.2998046875,0,0.0,0.0
2004-01-07,5837.2998046875,5844.2998046875,5822.2001953125,5844.2998046875,5844.2998046875,0,0.0,0.0
2004-01-08,5844.2998046875,5915.60009765625,5844.2998046875,5915.60009765625,5915.60009765625,0,0.0,0.0
2004-01-09,5915.60009765625,5933.7998046875,5897.39990234375,5933.7998046875,5933.7998046875,0,0.0,0.0
2004-01-12,5933.7998046875,5935.89990234375,5904.0,5920.39990234375,5920.39990234375,0,0.0,0.0
2004-01-13,5920.39990234375,5966.89990234375,5920.39990234375,5963.60009765625,5963.60009765625,0,0.0,0.0
2004-01-14,5963.60009765625,6016.10009765625,5963.60009765625,6016.10009765625,6016.10009765625,0,0.0,0.0
2004-01-15,6016.10009765625,6041.5,6011.7998046875,6038.89990234375,6038.89990234375,0,0.0,0.0
2004-01-16,6038.89990234375,6108.10009765625,6038.89990234375,6108.10009765625,6108.10009765625,0,0.0,0.0
2004-01-19,6108.10009765625,6144.10009765625,6108.10009765625,6137.39990234375,6137.39990234375,0,0.0,0.0
2004-01-20,6137.39990234375,6141.0,6119.60009765625,6127.7001953125,6127.7001953125,0,0.0,0.0
2004-01-21,6127.7001953125,6134.2998046875,6106.89990234375,6120.39990234375,6120.39990234375,0,0.0,0.0
2004-01-22,6120.39990234375,6133.60009765625,6069.0,6069.0,6069.0,0,0.0,0.0
2004-01-23,6069.0,6075.2998046875,6028.39990234375,6045.39990234375,6045.39990234375,0,0.0,0.0
2004-01-26,6045.39990234375,6062.60009765625,6036.0,6036.39990234375,6036.39990234375,0,0.0,0.0
2004-01-27,6036.39990234375,6067.5,6036.39990234375,6050.39990234375,6050.39990234375,0,0.0,0.0
2004-01-28,6050.39990234375,6050.39990234375,6029.89990234375,6029.89990234375,6029.89990234375,0,0.0,0.0
2004-01-29,6029.89990234375,6029.89990234375,5965.5,5965.5,5965.5,0,0.0,0.0
2004-01-30,5965.5,6028.2998046875,5965.5,6023.89990234375,6023.89990234375,0,0.0,0.0
2004-02-02,6023.89990234375,6068.7998046875,6023.89990234375,6057.39990234375,6057.39990234375,0,0.0,0.0
2004-02-03,6057.39990234375,6063.0,6032.2998046875,6044.2998046875,6044.2998046875,0,0.0,0.0
2004-02-04,6044.2998046875,6044.2998046875,6010.89990234375,6010.89990234375,6010.89990234375,0,0.0,0.0
2004-02-05,6010.89990234375,6054.89990234375,6006.89990234375,6046.2998046875,6046.2998046875,0,0.0,0.0
2004-02-06,6046.2998046875,6096.7001953125,6045.7998046875,6094.39990234375,6094.39990234375,0,0.0,0.0
2004-02-09,6094.39990234375,6135.5,6094.39990234375,6133.5,6133.5,0,0.0,0.0
2004-02-10,6133.5,6136.7001953125,6114.10009765625,6118.2001953125,6118.2001953125,0,0.0,0.0
2004-02-11,6118.2001953125,6134.7001953125,6118.2001953125,6134.7001953125,6134.7001953125,0,0.0,0.0
2004-02-12,6134.7001953125,6171.0,6134.7001953125,6171.0,6171.0,0,0.0,0.0
2004-02-13,6171.0,6197.0,6171.0,6197.0,6197.0,0,0.0,0.0
2004-02-16,6197.0,6205.5,6188.39990234375,6205.5,6205.5,0,0.0,0.0
2004-02-17,6205.5,6246.39990234375,6205.5,6244.89990234375,6244.89990234375,0,0.0,0.0
2004-02-18,6244.89990234375,6278.5,6237.10009765625,6275.60009765625,6275.60009765625,0,0.0,0.0
2004-02-19,6275.60009765625,6300.2001953125,6275.60009765625,6297.7001953125,6297.7001953125,0,0.0,0.0
2004-02-20,6297.7001953125,6307.7998046875,6282.2998046875,6307.7998046875,6307.7998046875,0,0.0,0.0
2004-02-23,6307.7998046875,6318.2001953125,6299.2998046875,6299.2998046875,6299.2998046875,0,0.0,0.0
2004-02-24,6299.2998046875,6306.7998046875,6246.39990234375,6253.2001953125,6253.2001953125,0,0.0,0.0
2004-02-25,6253.2001953125,6258.5,6237.89990234375,6244.7998046875,6244.7998046875,0,0.0,0.0
2004-02-26,6244.7998046875,6270.2998046875,6244.7998046875,6259.7998046875,6259.7998046875,0,0.0,0.0
2004-02-27,6259.7998046875,6285.2001953125,6259.7998046875,6269.89990234375,6269.89990234375,0,0.0,0.0
2004-03-01,6269.89990234375,6322.5,6269.89990234375,6322.5,6322.5,0,0.0,0.0
2004-03-02,6322.5,6363.0,6322.5,6353.60009765625,6353.60009765625,0,0.0,0.0
2004-03-03,6353.60009765625,6353.60009765625,6316.89990234375,6317.89990234375,6317.89990234375,0,0.0,0.0
2004-03-04,6317.89990234375,6341.39990234375,6317.89990234375,6337.89990234375,6337.89990234375,0,0.0,0.0
2004-03-05,6337.89990234375,6357.2998046875,6337.2998046875,6357.2998046875,6357.2998046875,0,0.0,0.0
2004-03-08,6357.2998046875,6388.7998046875,6354.2001953125,6388.7998046875,6388.7998046875,0,0.0,0.0
2004-03-09,6388.7998046875,6408.5,6359.2998046875,6359.2998046875,6359.2998046875,0,0.0,0.0
2004-03-10,6359.2998046875,6360.39990234375,6294.0,6301.60009765625,6301.60009765625,0,0.0,0.0
2004-03-11,6301.60009765625,6301.60009765625,6146.10009765625,6176.89990234375,6176.89990234375,0,0.0,0.0
2004-03-12,6176.89990234375,6257.7998046875,6136.7998046875,6257.7998046875,6257.7998046875,0,0.0,0.0
2004-03-15,6257.7998046875,6258.60009765625,6169.2001953125,6173.2998046875,6173.2998046875,0,0.0,0.0
2004-03-16,6173.2998046875,6178.0,6122.2001953125,6159.39990234375,6159.39990234375,0,0.0,0.0
2004-03-17,6159.39990234375,6212.7001953125,6159.39990234375,6209.10009765625,6209.10009765625,0,0.0,0.0
2004-03-18,6209.10009765625,6223.5,6189.2998046875,6189.2998046875,6189.2998046875,0,0.0,0.0
2004-03-19,6189.2998046875,6240.2001953125,6189.2998046875,6240.2001953125,6240.2001953125,0,0.0,0.0
2004-03-22,6240.2001953125,6240.2001953125,6120.89990234375,6132.5,6132.5,0,0.0,0.0
2004-03-23,6132.7998046875,6151.10009765625,6125.39990234375,6134.60009765625,6134.60009765625,0,0.0,0.0
2004-03-24,6134.60009765625,6163.0,6134.60009765625,6148.7998046875,6148.7998046875,0,0.0,0.0
2004-03-25,6148.7998046875,6217.89990234375,6148.7998046875,6217.89990234375,6217.89990234375,0,0.0,0.0
2004-03-26,6217.89990234375,6243.0,6196.7998046875,6203.39990234375,6203.39990234375,0,0.0,0.0
2004-03-29,6203.39990234375,6242.2001953125,6200.2998046875,6237.5,6237.5,0,0.0,0.0
2004-03-30,6237.5,6252.2998046875,6236.89990234375,6251.60009765625,6251.60009765625,0,0.0,0.0
2004-03-31,6251.60009765625,6282.60009765625,6246.10009765625,6259.39990234375,6259.39990234375,0,0.0,0.0
2004-04-01,6259.39990234375,6294.2001953125,6258.5,6294.2001953125,6294.2001953125,0,0.0,0.0
2004-04-02,6294.2001953125,6334.7998046875,6291.2998046875,6332.2001953125,6332.2001953125,0,0.0,0.0
2004-04-05,6332.2001953125,6350.2001953125,6317.0,6324.7998046875,6324.7998046875,0,0.0,0.0
2004-04-06,6324.7998046875,6344.7998046875,6296.2001953125,6308.2998046875,6308.2998046875,0,0.0,0.0
2004-04-07,6308.2998046875,6323.10009765625,6303.0,6323.10009765625,6323.10009765625,0,0.0,0.0
2004-04-08,6323.10009765625,6341.2001953125,6319.60009765625,6341.2001953125,6341.2001953125,0,0.0,0.0
2004-04-13,6341.2001953125,6360.7001953125,6341.2001953125,6348.39990234375,6348.39990234375,0,0.0,0.0
2004-04-14,6348.39990234375,6356.39990234375,6236.5,6264.2001953125,6264.2001953125,0,0.0,0.0
2004-04-15,6264.2001953125,6281.10009765625,6264.2001953125,6269.39990234375,6269.39990234375,0,0.0,0.0
2004-04-16,6269.39990234375,6269.39990234375,6253.0,6258.39990234375,6258.39990234375,0,0.0,0.0
2004-04-19,6258.39990234375,6286.10009765625,6258.39990234375,6286.10009765625,6286.10009765625,0,0.0,0.0
2004-04-20,6286.10009765625,6345.0,6286.10009765625,6345.0,6345.0,0,0.0,0.0
2004-04-21,6345.0,6345.0,6295.5,6295.5,6295.5,0,0.0,0.0
2004-04-22,6295.5,6319.10009765625,6294.2001953125,6313.7998046875,6313.7998046875,0,0.0,0.0
2004-04-23,6313.7998046875,6371.2998046875,6313.7998046875,6366.7001953125,6366.7001953125,0,0.0,0.0
2004-04-26,6366.7001953125,6378.2001953125,6358.39990234375,6370.60009765625,6370.60009765625,0,0.0,0.0
2004-04-27,6370.60009765625,6370.60009765625,6343.5,6362.2001953125,6362.2001953125,0,0.0,0.0
2004-04-28,6362.2001953125,6366.10009765625,6311.2998046875,6311.2998046875,6311.2998046875,0,0.0,0.0
2004-04-29,6311.2998046875,6311.2998046875,6238.5,6250.2001953125,6250.2001953125,0,0.0,0.0
2004-04-30,6250.2001953125,6250.2001953125,6210.7001953125,6210.7001953125,6210.7001953125,0,0.0,0.0
2004-05-04,6210.7001953125,6228.7998046875,6210.0,6228.7998046875,6228.7998046875,0,0.0,0.0
2004-05-05,6228.7998046875,6236.5,6206.7998046875,6218.7998046875,6218.7998046875,0,0.0,0.0
2004-05-06,6218.7998046875,6223.0,6163.2998046875,6168.10009765625,6168.10009765625,0,0.0,0.0
2004-05-07,6168.10009765625,6177.60009765625,6111.0,6113.5,6113.5,0,0.0,0.0
2004-05-10,6113.5,6113.5,5937.7998046875,5942.89990234375,5942.89990234375,0,0.0,0.0
2004-05-11,5942.89990234375,6001.60009765625,5942.89990234375,6001.2001953125,6001.2001953125,0,0.0,0.0
2004-05-12,6001.2001953125,6023.89990234375,5969.0,5969.0,5969.0,0,0.0,0.0
